"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Pakistan","PAK","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3000000","400000","190000","412000","140000","907000","","2400","75000","1800","16000","390",
"Pakistan","PAK","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","0.0765696784073507","","0.0955794504181601","0.0870511425462459","0.16363264471262","0.53465724651518","2.24832214765101","1.18908055602077","1.20021822149482","1.69602281165533","1.83220029845797","1.39385920067362","1.14993300646377","0.105075128717033","0.0896386665351966","0.556543909887454","0.766871165644172","1.48608921647991","2.20159969938535","0.772456196674741","1.22011743057623","1.10248075515422","0.766562709493136","0.786707601045908","1.307679981866","2.04387931727054","0.786866250472947","0.975401459503807","0.579021717195237","0.757308896249199","2.52178995214849","1.55201892857925","1.17547846969724","2.46303369746615","1.10512925453042","2.69217079935334","2.15006878646326","2.22354841126544","1.56541082459238","0.847497452571889","1.53492147202796","1.31740598991311","1.46573095303523","2.07789106569954","2.17699243085474","2.5415926168551","2.71221648610443","3.35965416136824","3.39204479059064","3.13306748976197","4.13943452586564","4.27699096364769","2.98291925132688","3.15152157288974","2.96539098715278","2.40603044500413","2.62944949424929","2.99831797927907","2.95258688500316","2.87082274423596","",
"Pakistan","PAK","Net barter terms of trade index (2000 = 100)","TT.PRI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","129.4871795","116.6666667","112.9411765","120.7792208","122.7848101","116.4383562","150","135.0649351","124.3902439","114.1176471","108.6956522","105.5555556","104.5454545","107.1428571","107.7777778","119.1919192","120","118.556701","136.0465116","117.2043011","100","81.5647482","77.41587292","72.42728379","69.05315944","61.39677224","57.18262413","53.51936132","47.07693402","52.94646694","52.83135959","50.45370633","48.45622872","46.27624777","48.02084764","49.82010906","52.95781056","52.5416544","52.0959501","54.09782278","",
"Pakistan","PAK","Merchandise imports from high-income economies (% of total merchandise imports)","TM.VAL.MRCH.HI.ZS","80.6120863756408","79.8201325339224","88.0648262601291","86.0858700590641","87.0400487904046","88.1642512077295","83.2406583629893","85.3642987249545","83.4048640915594","83.0780227744299","82.9682196852823","79.5438665443906","74.3919091277403","78.8118445784246","79.535723112115","79.0587472819578","82.2830750474761","77.0596440282559","81.0262170232584","79.2473274509756","80.3717702830524","82.7130833155764","83.2421403381297","82.0223579907098","79.3689569168745","81.0130881561273","80.9497991518918","79.0181379473907","80.1128947064859","78.9690320493108","76.9669487570785","75.9099659373513","76.7931323649166","77.3740172331167","73.7051169602153","72.085905645379","73.8787623032508","75.9521915541263","70.7726256375909","72.8901160186649","74.9206693645734","72.7102868674888","72.6921871584983","72.4906668021092","71.2043542720441","67.5564195716299","68.145609686247","63.7948071268197","63.8370878997185","63.4233936539054","61.1239800022844","63.0236172956643","63.2904833961486","63.1768284443624","56.5489009003515","50.8810386391178","47.2011090138807","49.6157512682771","51.2309266602043","49.7913032462996","",
"Pakistan","PAK","Share of tariff lines with international peaks, primary products (%)","TM.TAX.TCOM.IP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.94769","","","75.50877","59.79494","59.16394","50.65518","49.86515","48.57101","46.69701","37.94614","38.37321","45.56602","43.58191","36.49995","36.28931","34.85855","34.56385","36.79063","39.60079","39.46377","40.89725","","40.23217","38.9494","",
"Pakistan","PAK","Share of tariff lines with international peaks, manufactured products (%)","TM.TAX.MANF.IP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.20375","","","88.08189","62.53621","60.88471","59.08612","55.51934","53.85023","51.31622","43.70631","44.30032","53.85261","52.21773","45.79371","46.14555","45.79525","45.61914","46.35994","49.56579","49.78357","50.48387","","51.45829","51.69231","",
"Pakistan","PAK","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","22.104","22.501","22.751","23.002","23.256","23.511","23.769","24.028","24.289","24.552","24.817","25.084","25.353","25.671","26.005","26.341","26.681","27.023","27.368","27.715","28.066","28.38","28.619","28.859","29.101","29.344","29.588","29.833","30.08","30.327","30.576","30.826","31.077","31.329","31.582","31.836","32.092","32.348","32.585","32.783","32.982","33.18","33.38","33.58","33.781","33.982","34.184","34.387","34.59","34.793","34.997","35.202","35.408","35.613","35.819","36.026","36.234","36.442","36.666","36.907","37.165",
"Pakistan","PAK","Population, total","SP.POP.TOTL","44988690","46065229","47198886","48387293","49627623","50917975","52260183","53655783","55102690","56598148","58142062","59734479","61381982","63099404","64905996","66816875","68834324","70958168","73197254","75561128","78054346","80680461","83431597","86285936","89213708","92191505","95215375","98285762","101389603","104512874","107647918","110778655","113911126","117086680","120362764","123776835","127349293","131057432","134843233","138624625","142343583","145978408","149549695","153093371","156664698","160304007","164022626","167808106","171648984","175525610","179424643","183340168","187280125","191260799","195305012","199426953","203631356","207906210","212228288","216565317","220892331",
"Pakistan","PAK","Population ages 65 and above, male (% of male population)","SP.POP.65UP.MA.ZS","4.32151167150809","4.26812716585862","4.21467451374577","4.16046370210277","4.10426355829902","4.04656859172101","4.04235068860193","4.03400058621216","4.02230943479618","4.00824834200899","3.9924416116221","4.00654399366091","4.01634534210677","4.02446540893733","4.03270741754414","4.04185078996477","4.06183289030917","4.07866501535551","4.09319897112215","4.10575202441771","4.11649839105517","4.12794416838287","4.13543806509023","4.14012121892881","4.14246355089273","4.14307940371088","4.15137384800605","4.15321289473699","4.15089894057404","4.14673010375104","4.1421829441233","4.15315996147189","4.16025624007242","4.16421300150059","4.1652754533326","4.164208405685","4.16569579866379","4.16347002858676","4.15946219491069","4.15587642336093","4.15435766921366","4.16590928717996","4.17403264728743","4.18099895433088","4.1890401005098","4.19935582934432","4.22218533481273","4.24263751706601","4.25918968114468","4.26931471505717","4.27221209164349","4.29476514383542","4.30964122395134","4.3171752828044","4.31675565470968","4.30926658512071","4.30447067802197","4.29156743823861","4.27875160519086","4.27650286999051","4.29090866672214",
"Pakistan","PAK","Population ages 35-39, male (% of male population)","SP.POP.3539.MA.5Y","5.99645587404739","5.96476028172659","5.94363703591357","5.92748166997827","5.90995437841584","5.8889918768288","5.85911918935019","5.82905764077835","5.79996972019108","5.77472021167088","5.75406164046043","5.72568081908837","5.70042108605916","5.67935444881758","5.66378518445884","5.65292283510345","5.63873546469453","5.63150185987198","5.62074311763241","5.59254983063055","5.54020839505522","5.4572874653166","5.36332576622456","5.26198370785179","5.15825234941758","5.05763656458557","4.94805280707704","4.8373910201161","4.74535095850714","4.69848906603818","4.70863707337557","4.75693209093509","4.85457600790046","4.97884111437793","5.09827686277595","5.19448531430852","5.27438260811184","5.33953987171595","5.39115382754536","5.43280818110671","5.46695808525644","5.48355446956017","5.49238140976381","5.49641480531351","5.49915176636384","5.50299537129343","5.50399351794755","5.50743587026743","5.51717501323075","5.53823591946093","5.57309294150002","5.61905773662928","5.67787911859339","5.74601470032326","5.81804441961612","5.8902165808685","5.96228733313699","6.03459443115002","6.10972511609779","6.19256419751273","6.28501439232968",
